20240914	16:30:34	1320adc8-7d3e-4139-b9e5-e8ab9e033c7f	GET	/api/v1/games	http://localhost:5173
20240915	00:47:15	0c78d227-8159-407a-9454-9f7a9429e09c	GET	/api/v1/games	http://localhost:5173
20240915	00:47:15	60afec19-8af4-4ac7-993e-93c21ec3088e	GET	/api/v1/games	http://localhost:5173
20240915	00:47:53	84802887-594a-4285-9938-b8d4630dd966	OPTIONS	/login	http://localhost:5173
20240915	00:47:53	f7f33cf7-5961-4bf7-9788-4a98f42af437	POST	/login	http://localhost:5173
20240915	00:47:54	09765773-394c-4b2b-945b-cfb5f6d8cd86	GET	/api/v1/games	http://localhost:5173
20240915	00:47:54	92b4112d-8c33-437f-819f-b765d8057fdd	GET	/api/v1/games	http://localhost:5173
20240915	00:48:08	874f2e5d-e00f-4802-82e5-ee437dc37a02	GET	/api/v1/games	http://localhost:5173
20240915	00:48:08	eb7e40c3-7dff-4e54-918f-d7dd7a424952	GET	/api/v1/games	http://localhost:5173
20240915	01:09:29	f6bd6511-4954-4340-bbfb-1a3f1c6f6c64	POST	/api/v1/games	http://localhost:5173
20240915	01:09:55	2156fbed-7d13-4879-a53f-dca42e754117	POST	/api/v1/games	http://localhost:5173
20240915	01:14:32	88311fab-4a53-4816-9315-2f7abeebf681	POST	/api/v1/games	http://localhost:5173
20240915	01:15:14	8e5e3110-032c-4bb8-bfb0-b5d9927d3c4a	GET	/api/v1/games	undefined
20240915	01:17:07	0c20be3d-8741-49f3-8564-a061bca7c066	POST	/api/v1/games	http://localhost:5173
20240915	01:18:25	6d64e08f-70e1-4987-8550-823912c286bd	POST	/api/v1/games	http://localhost:5173
20240915	01:18:28	2e5e9f8a-8dc3-490b-ba86-5d659757399e	POST	/api/v1/games	http://localhost:5173
20240915	01:18:46	4ffdd263-3278-4096-9c9f-f4e5d2ecbcd2	POST	/api/v1/games	http://localhost:5173
20240915	01:19:57	415664d7-fda9-401c-b5f6-17265ceffbd8	POST	/api/v1/games	http://localhost:5173
20240915	01:20:19	f81be1f4-c946-49f6-ba4a-9ece79bda29c	POST	/api/v1/games	http://localhost:5173
20240915	01:23:05	14e98b43-598d-44b7-bbc4-65f50635b832	POST	/api/v1/games	http://localhost:5173
20240915	01:23:43	25d37de3-43c1-4295-9684-9ac811a59f58	POST	/api/v1/games	http://localhost:5173
20240915	01:24:30	b958076a-688b-44f1-aaf3-a8204f62da5a	POST	/api/v1/games	http://localhost:5173
20240915	01:24:49	79acad69-0266-4256-accc-cde94f91a6c2	POST	/api/v1/games	http://localhost:5173
20240915	01:27:43	447b5e91-97f2-4820-bf01-7ac8734d8fbc	GET	/api/v1/games	http://localhost:5173
20240915	01:27:43	ec55d26a-f934-40ab-a3de-4496ef7c90f2	GET	/api/v1/games	http://localhost:5173
20240915	01:30:02	b5a2722c-e485-476a-b735-38b8d6a61b7e	POST	/api/v1/games	http://localhost:5173
20240915	01:30:53	fce6f0bd-ee71-4768-9b46-9d78a0332879	POST	/api/v1/games	http://localhost:5173
20240915	01:43:24	56a45794-64f8-40bd-9077-22b6aa957264	POST	/api/v1/games	http://localhost:5173
20240915	01:44:45	5b3acad1-393b-42dd-b535-eb600e9f9dbd	POST	/api/v1/games	http://localhost:5173
20240915	01:49:55	785c04da-60ed-4e52-9892-89fac1e1c12f	GET	/api/v1/games	undefined
20240915	01:55:21	3fa61616-3d74-4a6c-87fa-468d8aeeffe5	OPTIONS	/api/v1/games	http://localhost:5173
20240915	01:55:21	951724ac-666c-4070-9e6c-1c14337c405c	POST	/api/v1/games	http://localhost:5173
20240915	01:55:27	1a68f960-e7de-4915-8f64-1299e4255436	GET	/api/v1/games	http://localhost:5173
20240915	01:55:27	4189e232-0fec-470a-8457-aeca403affbb	GET	/api/v1/games	http://localhost:5173
20240915	02:07:18	881b4e7b-f859-4fd0-896e-15b968a436fd	POST	/api/v1/games	http://localhost:5173
20240915	02:07:35	a765a4c1-5ad3-43d1-8e81-7b4e85f2c2c7	POST	/api/v1/games	http://localhost:5173
20240915	02:07:58	9e33ef3f-dd37-4a0e-8b7c-9d7e18206f88	POST	/api/v1/games	http://localhost:5173
20240915	02:09:54	14a5c7fe-29a2-4eaa-b2b3-c3357258f1a6	POST	/api/v1/games	http://localhost:5173
20240915	02:09:57	40554a71-ec94-44d9-b88e-9d1d06f39f8e	GET	/api/v1/games	http://localhost:5173
20240915	02:09:57	362ca13e-6848-4e0b-b5b1-4b8bb2ca0769	GET	/api/v1/games	http://localhost:5173
20240915	02:10:03	6d5b42be-7946-470f-b51b-3247726d0bc7	GET	/api/v1/games	http://localhost:5173
20240915	02:10:03	16205b41-603d-4bea-bd74-8db8d5b859bb	GET	/api/v1/games	http://localhost:5173
20240915	02:13:24	b104f625-2f66-4dfb-9fd3-06a7239706d6	GET	/api/v1/games	http://localhost:5173
20240915	02:13:24	97251228-8820-4e24-ae1a-fbd98c3f4228	GET	/api/v1/games	http://localhost:5173
20240915	02:17:34	d0fb5eee-a466-4674-acf3-87953633ad40	GET	/api/v1/games	undefined
20240915	02:17:34	83629322-3990-4129-ad99-f9064e5f327b	GET	/api/v1/games	undefined
20240915	02:17:34	b990c4aa-26a6-46a1-9560-e7b241934c9c	GET	/api/v1/games	undefined
20240915	02:17:34	6f204a50-7894-4459-8e0f-e6d1d39e2615	GET	/$%7Bgame.imageUrl%7D%60%7D%20//%20Ensure%20this%20path%20is%20correct	undefined
20240915	02:17:34	9c7b513f-679f-4b56-8e66-e3e0e794a227	GET	/$%7Bgame.imageUrl%7D%60%7D%20//%20Ensure%20this%20path%20is%20correct	undefined
20240915	02:18:00	6f6b84ce-f565-4745-84a4-ec7faf021956	GET	/api/v1/games	http://localhost:5173
20240915	02:18:00	c17ea498-bf51-4c26-8f29-efafdd28ee17	GET	/api/v1/games	http://localhost:5173
20240915	02:18:09	d3fb44cf-723c-403f-ae82-4586f52e2957	GET	/api/v1/games	http://localhost:5173
20240915	02:18:09	c778b899-f6a5-437c-8d35-711af7b89b5b	GET	/api/v1/games	http://localhost:5173
20240915	02:21:32	907c5944-8fc9-4730-af16-d533a2a5e125	GET	/api/v1/games	http://localhost:5173
20240915	02:21:32	bd870d7a-f5c8-4591-8f2c-7b2db58a433f	GET	/api/v1/games	http://localhost:5173
20240915	02:21:54	a7cedbf3-faf0-47c0-ab1f-b06bcba0ba24	GET	/api/v1/games	http://localhost:5173
20240915	02:21:54	e375a4a5-043f-4a6a-b35f-e29dfe36ea87	GET	/api/v1/games	http://localhost:5173
20240915	02:22:42	630278c1-46ce-4dda-881a-83d817eb758d	GET	/api/v1/games	http://localhost:5173
20240915	02:22:42	ec4ecfb3-7be3-49ab-9674-647bc10c1e1a	GET	/api/v1/games	http://localhost:5173
20240915	02:22:42	4a0189fd-5742-44dd-9cc3-43e2d43e4889	GET	/api/v1/games	http://localhost:5173
20240915	02:22:42	a486c7cf-3a62-44b5-bb11-66c86d35be81	GET	/api/v1/games	http://localhost:5173
20240915	02:22:42	1b09be39-9adf-46bf-b2bd-2421338a9e85	GET	/api/v1/games	http://localhost:5173
